[19:23:16] Epoch 1/200, Iter 13/228,Total Loss 0.638635, Loss_seg 1.706195,fusecross:0.715800, fusedice:0.990395,spec_modal_loss:1.6069378852844238 , circleloss[loss flair->t1:0.642739, loss t1->t1c:0.636236, loss t1c->t2:0.728258, loss t2->flair:0.638635, ], use_modality:[3, 1, 2, 0]
[19:23:16] Epoch 1/200, Iter 14/228,Total Loss 0.637068, Loss_seg 1.706677,fusecross:0.716236, fusedice:0.990441,spec_modal_loss:1.4092864990234375 , circleloss[loss flair->t1:0.629503, loss t1->t1c:0.636712, loss t1c->t2:0.718508, loss t2->flair:0.637068, ], use_modality:[1, 2, 0, 3]
[19:23:16] Epoch 1/200, Iter 15/228,Total Loss 0.628641, Loss_seg 1.658912,fusecross:0.710501, fusedice:0.948410,spec_modal_loss:1.0594266653060913 , circleloss[loss flair->t1:0.633361, loss t1->t1c:0.636791, loss t1c->t2:0.720188, loss t2->flair:0.628641, ], use_modality:[1, 0, 2, 3]
[19:23:16] Epoch 1/200, Iter 16/228,Total Loss 0.565583, Loss_seg 1.644274,fusecross:0.709465, fusedice:0.934809,spec_modal_loss:1.4131038188934326 , circleloss[loss flair->t1:0.575564, loss t1->t1c:0.561236, loss t1c->t2:0.626632, loss t2->flair:0.565583, ], use_modality:[1, 0, 2, 3]
[19:23:17] Epoch 1/200, Iter 17/228,Total Loss 0.623995, Loss_seg 1.654379,fusecross:0.705522, fusedice:0.948857,spec_modal_loss:1.8570384979248047 , circleloss[loss flair->t1:0.618122, loss t1->t1c:0.622006, loss t1c->t2:0.699341, loss t2->flair:0.623995, ], use_modality:[3, 1, 0, 2]
[19:23:17] Epoch 1/200, Iter 18/228,Total Loss 0.610923, Loss_seg 1.688724,fusecross:0.710298, fusedice:0.978426,spec_modal_loss:1.2195513248443604 , circleloss[loss flair->t1:0.605033, loss t1->t1c:0.620510, loss t1c->t2:0.692275, loss t2->flair:0.610923, ], use_modality:[0, 2, 3, 1]
[19:23:17] Epoch 1/200, Iter 19/228,Total Loss 0.541093, Loss_seg 1.690436,fusecross:0.709780, fusedice:0.980657,spec_modal_loss:1.460787296295166 , circleloss[loss flair->t1:0.550632, loss t1->t1c:0.535340, loss t1c->t2:0.601249, loss t2->flair:0.541093, ], use_modality:[3, 0, 2, 1]
[19:23:17] -------- Dice_ET = 0.004208539564848778, Dice_WT = 0.009665940648691624, Dice_TC = 0.0037749908745836826
[19:23:17] Epoch 1/200, Iter 20/228,Total Loss 0.593230, Loss_seg 1.703998,fusecross:0.708844, fusedice:0.995154,spec_modal_loss:0.8503737449645996 , circleloss[loss flair->t1:0.591481, loss t1->t1c:0.609627, loss t1c->t2:0.682236, loss t2->flair:0.593230, ], use_modality:[2, 0, 1, 3]
[19:23:18] Epoch 1/200, Iter 21/228,Total Loss 0.598839, Loss_seg 1.656115,fusecross:0.706327, fusedice:0.949788,spec_modal_loss:1.501322865486145 , circleloss[loss flair->t1:0.589237, loss t1->t1c:0.608947, loss t1c->t2:0.684376, loss t2->flair:0.598839, ], use_modality:[0, 1, 3, 2]
[19:23:19] Epoch 1/200, Iter 22/228,Total Loss 0.587492, Loss_seg 1.689765,fusecross:0.708629, fusedice:0.981136,spec_modal_loss:1.280940055847168 , circleloss[loss flair->t1:0.592915, loss t1->t1c:0.600169, loss t1c->t2:0.671027, loss t2->flair:0.587492, ], use_modality:[1, 3, 0, 2]
[19:23:19] Epoch 1/200, Iter 23/228,Total Loss 0.582289, Loss_seg 1.688263,fusecross:0.702576, fusedice:0.985686,spec_modal_loss:1.3596365451812744 , circleloss[loss flair->t1:0.578824, loss t1->t1c:0.591597, loss t1c->t2:0.663740, loss t2->flair:0.582289, ], use_modality:[1, 2, 0, 3]
[19:23:19] Epoch 1/200, Iter 24/228,Total Loss 0.581662, Loss_seg 1.681030,fusecross:0.703250, fusedice:0.977781,spec_modal_loss:1.1370251178741455 , circleloss[loss flair->t1:0.578542, loss t1->t1c:0.591209, loss t1c->t2:0.658338, loss t2->flair:0.581662, ], use_modality:[2, 1, 3, 0]
[19:23:19] Epoch 1/200, Iter 25/228,Total Loss 0.588394, Loss_seg 1.612077,fusecross:0.688606, fusedice:0.923471,spec_modal_loss:1.3768304586410522 , circleloss[loss flair->t1:0.573008, loss t1->t1c:0.580840, loss t1c->t2:0.663117, loss t2->flair:0.588394, ], use_modality:[1, 3, 0, 2]
[19:23:19] Epoch 1/200, Iter 26/228,Total Loss 0.580130, Loss_seg 1.659964,fusecross:0.698311, fusedice:0.961653,spec_modal_loss:1.9304289817810059 , circleloss[loss flair->t1:0.569120, loss t1->t1c:0.588909, loss t1c->t2:0.654112, loss t2->flair:0.580130, ], use_modality:[0, 1, 2, 3]
[19:23:20] Epoch 1/200, Iter 27/228,Total Loss 0.516600, Loss_seg 1.681624,fusecross:0.699390, fusedice:0.982234,spec_modal_loss:1.0572338104248047 , circleloss[loss flair->t1:0.519803, loss t1->t1c:0.515692, loss t1c->t2:0.570314, loss t2->flair:0.516600, ], use_modality:[1, 0, 3, 2]
[19:23:21] Epoch 1/200, Iter 28/228,Total Loss 0.576532, Loss_seg 1.659538,fusecross:0.697458, fusedice:0.962079,spec_modal_loss:1.212710976600647 , circleloss[loss flair->t1:0.573675, loss t1->t1c:0.578939, loss t1c->t2:0.655134, loss t2->flair:0.576532, ], use_modality:[1, 0, 2, 3]
[19:23:21] Epoch 1/200, Iter 29/228,Total Loss 0.572355, Loss_seg 1.673083,fusecross:0.696696, fusedice:0.976386,spec_modal_loss:0.861883282661438 , circleloss[loss flair->t1:0.563430, loss t1->t1c:0.575345, loss t1c->t2:0.641608, loss t2->flair:0.572355, ], use_modality:[1, 0, 3, 2]
[19:23:21] Epoch 1/200, Iter 30/228,Total Loss 0.560720, Loss_seg 1.687384,fusecross:0.696708, fusedice:0.990676,spec_modal_loss:0.7652131915092468 , circleloss[loss flair->t1:0.551472, loss t1->t1c:0.566949, loss t1c->t2:0.635642, loss t2->flair:0.560720, ], use_modality:[0, 3, 1, 2]
[19:23:22] Epoch 1/200, Iter 31/228,Total Loss 0.556862, Loss_seg 1.680958,fusecross:0.696286, fusedice:0.984672,spec_modal_loss:1.517128348350525 , circleloss[loss flair->t1:0.549567, loss t1->t1c:0.560886, loss t1c->t2:0.633263, loss t2->flair:0.556862, ], use_modality:[0, 3, 2, 1]
[19:23:22] Epoch 1/200, Iter 32/228,Total Loss 0.567132, Loss_seg 1.618492,fusecross:0.681509, fusedice:0.936983,spec_modal_loss:0.676654577255249 , circleloss[loss flair->t1:0.554766, loss t1->t1c:0.569085, loss t1c->t2:0.637504, loss t2->flair:0.567132, ], use_modality:[0, 1, 3, 2]
[19:23:22] Epoch 1/200, Iter 33/228,Total Loss 0.547144, Loss_seg 1.649236,fusecross:0.691209, fusedice:0.958027,spec_modal_loss:2.0147359371185303 , circleloss[loss flair->t1:0.547201, loss t1->t1c:0.550775, loss t1c->t2:0.628393, loss t2->flair:0.547144, ], use_modality:[1, 3, 0, 2]
[19:23:23] Epoch 1/200, Iter 34/228,Total Loss 0.553367, Loss_seg 1.612997,fusecross:0.683662, fusedice:0.929335,spec_modal_loss:1.2665777206420898 , circleloss[loss flair->t1:0.547735, loss t1->t1c:0.562806, loss t1c->t2:0.628372, loss t2->flair:0.553367, ], use_modality:[3, 2, 0, 1]
[19:23:23] Epoch 1/200, Iter 35/228,Total Loss 0.552756, Loss_seg 1.675368,fusecross:0.687711, fusedice:0.987657,spec_modal_loss:1.4418740272521973 , circleloss[loss flair->t1:0.544022, loss t1->t1c:0.559510, loss t1c->t2:0.629147, loss t2->flair:0.552756, ], use_modality:[1, 2, 3, 0]
[19:23:23] Epoch 1/200, Iter 36/228,Total Loss 0.557625, Loss_seg 1.662881,fusecross:0.684383, fusedice:0.978498,spec_modal_loss:1.48976469039917 , circleloss[loss flair->t1:0.548559, loss t1->t1c:0.561693, loss t1c->t2:0.629049, loss t2->flair:0.557625, ], use_modality:[1, 2, 3, 0]
