[19:21:37] Epoch 1/200, Iter 13/228,Total Loss 0.634341, Loss_seg 1.707752,fusecross:0.717227, fusedice:0.990524,spec_modal_loss:1.6069308519363403 , circleloss[loss flair->t1:0.640001, loss t1->t1c:0.642185, loss t1c->t2:0.723583, loss t2->flair:0.634341, ], use_modality:[3, 1, 2, 0]
[19:21:37] Epoch 1/200, Iter 14/228,Total Loss 0.640239, Loss_seg 1.707223,fusecross:0.716819, fusedice:0.990405,spec_modal_loss:1.409700632095337 , circleloss[loss flair->t1:0.633012, loss t1->t1c:0.634270, loss t1c->t2:0.716974, loss t2->flair:0.640239, ], use_modality:[1, 2, 0, 3]
[19:21:37] Epoch 1/200, Iter 15/228,Total Loss 0.637247, Loss_seg 1.658780,fusecross:0.710941, fusedice:0.947839,spec_modal_loss:1.0570088624954224 , circleloss[loss flair->t1:0.630201, loss t1->t1c:0.638219, loss t1c->t2:0.719851, loss t2->flair:0.637247, ], use_modality:[1, 0, 2, 3]
[19:21:37] Epoch 1/200, Iter 16/228,Total Loss 0.559192, Loss_seg 1.647423,fusecross:0.711252, fusedice:0.936171,spec_modal_loss:1.4174063205718994 , circleloss[loss flair->t1:0.570344, loss t1->t1c:0.555023, loss t1c->t2:0.627510, loss t2->flair:0.559192, ], use_modality:[1, 0, 2, 3]
[19:21:38] Epoch 1/200, Iter 17/228,Total Loss 0.616721, Loss_seg 1.656164,fusecross:0.706751, fusedice:0.949414,spec_modal_loss:1.863045334815979 , circleloss[loss flair->t1:0.613648, loss t1->t1c:0.625152, loss t1c->t2:0.695272, loss t2->flair:0.616721, ], use_modality:[3, 1, 0, 2]
[19:21:38] Epoch 1/200, Iter 18/228,Total Loss 0.611418, Loss_seg 1.688294,fusecross:0.710210, fusedice:0.978084,spec_modal_loss:1.222459077835083 , circleloss[loss flair->t1:0.599095, loss t1->t1c:0.615594, loss t1c->t2:0.693549, loss t2->flair:0.611418, ], use_modality:[0, 2, 3, 1]
[19:21:38] Epoch 1/200, Iter 19/228,Total Loss 0.545895, Loss_seg 1.690616,fusecross:0.710049, fusedice:0.980567,spec_modal_loss:1.4617807865142822 , circleloss[loss flair->t1:0.558311, loss t1->t1c:0.533102, loss t1c->t2:0.599279, loss t2->flair:0.545895, ], use_modality:[3, 0, 2, 1]
[19:21:38] -------- Dice_ET = 0.0047005008258534185, Dice_WT = 0.008931871641561284, Dice_TC = 0.0037807888055689624
[19:21:38] Epoch 1/200, Iter 20/228,Total Loss 0.604761, Loss_seg 1.704820,fusecross:0.709640, fusedice:0.995181,spec_modal_loss:0.854382336139679 , circleloss[loss flair->t1:0.589473, loss t1->t1c:0.608094, loss t1c->t2:0.681825, loss t2->flair:0.604761, ], use_modality:[2, 0, 1, 3]
[19:21:39] Epoch 1/200, Iter 21/228,Total Loss 0.595391, Loss_seg 1.656822,fusecross:0.707066, fusedice:0.949756,spec_modal_loss:1.5006422996520996 , circleloss[loss flair->t1:0.590378, loss t1->t1c:0.610894, loss t1c->t2:0.676570, loss t2->flair:0.595391, ], use_modality:[0, 1, 3, 2]
